NODE_NAME            ASN        POD_NAME                                               
seed-k3s-master      AS1277     as1277brd-r60-1.60.4.253-7f68968867-pwzpv              
seed-k3s-master      AS1277     as1277brd-r61-1.61.4.253-7484766889-zzht5              
seed-k3s-master      AS1277     as1277brd-r6-1.6.4.253-b6d8784c9-x6w8t                 
seed-k3s-master      AS1277     as1277brd-r62-1.62.4.253-789df7bff7-zph9c              
seed-k3s-master      AS1277     as1277brd-r63-1.63.4.253-76d49d7949-t8szh              
seed-k3s-master      AS1277     as1277brd-r68-1.68.4.253-b6d4d46d7-xblq7               
seed-k3s-master      AS1277     as1277brd-r70-1.70.4.253-5d6977c845-btptt              
seed-k3s-master      AS1277     as1277brd-r71-1.71.4.253-5ff7d6989b-pm7dj              
seed-k3s-master      AS1277     as1277brd-r7-1.7.4.253-757b6d9df5-jh2k9                
seed-k3s-master      AS1277     as1277brd-r73-1.73.4.253-859968bb97-5j7rq              
seed-k3s-master      AS1277     as1277brd-r75-1.75.4.253-68bbcc8656-g2c45              
seed-k3s-master      AS1277     as1277brd-r8-1.8.4.253-7dff5cf95f-shn8w                
seed-k3s-master      AS1277     as1277brd-r83-1.83.4.253-6b5c99f784-7k5j5              
seed-k3s-master      AS1277     as1277brd-r9-1.9.4.253-5984cf5bb6-xj48z                
seed-k3s-master      AS1277     as1277brd-r94-1.94.4.253-b6bfd4fff-5t4zj               
seed-k3s-master      AS1277     as1277brd-r96-1.96.4.253-6b5676cb9b-z2ldr              
seed-k3s-master      AS1277     as1277brd-r99-1.99.4.253-77cf69787c-qggjl              
seed-k3s-worker1     AS22       as22brd-ix22-1.22.0.22-68bd749f4d-kmj7d                
seed-k3s-worker1     AS24       as24brd-ix24-1.24.0.24-764c68c764-vvjx7                
seed-k3s-worker1     AS26       as26brd-ix26-1.26.0.26-84969f655b-65vb2                
seed-k3s-worker1     AS29       as29brd-ix29-1.29.0.29-b7897b84-f7dk8                  
seed-k3s-worker1     AS31       as31brd-ix31-1.31.0.31-8588b5cb8d-9qbqd                
seed-k3s-worker1     AS33       as33brd-ix33-1.33.0.33-7448978c56-g8pm9                
seed-k3s-worker1     AS35       as35brd-ix35-1.35.0.35-5994f76bdd-tbbng                
seed-k3s-worker1     AS37       as37brd-ix37-1.37.0.37-78c96944dd-vcd4n                
seed-k3s-worker1     AS39       as39brd-ix39-1.39.0.39-d4c7d48d-xhc6l                  
seed-k3s-worker1     AS41       as41brd-ix41-1.41.0.41-57759d6844-lp6xc                
seed-k3s-worker1     AS43       as43brd-ix43-1.43.0.43-5695fc96cb-7cdp5                
seed-k3s-worker1     AS45       as45brd-ix45-1.45.0.45-784dd8696d-cbgmf                
seed-k3s-worker1     AS51       as51brd-ix51-1.51.0.51-5ccfd6bdc6-zpdl4                
seed-k3s-worker1     AS55       as55brd-ix55-1.55.0.55-55bbd8688d-5mhng                
seed-k3s-worker1     AS60       as60brd-ix60-1.60.0.60-7544fd86d4-p6tgw                
seed-k3s-worker1     AS62       as62brd-ix62-1.62.0.62-8b75fbf44-sbf8s                 
seed-k3s-worker1     AS68       as68brd-ix68-1.68.0.68-76568b7764-xsb9h                
seed-k3s-worker1     AS71       as71brd-ix71-1.71.0.71-b9689bd4d-qmq9h                 
seed-k3s-worker1     AS74       as74brd-ix74-1.74.0.74-8489b689c6-zlt5q                
seed-k3s-worker1     AS83       as83brd-ix83-1.83.0.83-579f74c75b-p9kpr                
seed-k3s-worker1     AS96       as96brd-ix96-1.96.0.96-c9b8565b4-fqdj5                 
seed-k3s-worker1     AS106      as106brd-ix106-1.106.0.106-69599868d6-mw4c7            
seed-k3s-worker1     AS113      as113brd-ix113-1.113.0.113-7c8b57cdbb-lqp6w            
seed-k3s-worker1     AS125      as125brd-ix125-1.125.0.125-cb975d8b4-xbjdm             
seed-k3s-worker1     AS127      as127brd-ix127-1.127.0.127-58fcf78cb4-hwdz8            
seed-k3s-worker1     AS129      as129brd-ix129-1.129.0.129-7d49b4bd-rfng6              
seed-k3s-worker1     AS147      as147brd-ix147-1.147.0.147-7f4b548b6d-9zp9f            
seed-k3s-worker1     AS158      as158brd-ix158-1.158.0.158-68fbc9c4b8-gzqbq            
seed-k3s-worker1     AS171      as171brd-ix171-1.171.0.171-798c45475d-6stzm            
seed-k3s-worker1     AS190      as190brd-ix190-1.190.0.190-8dc996468-n2rs2             
seed-k3s-worker1     AS219      as219brd-ix219-1.219.0.219-669c44dd5b-rhhqz            
seed-k3s-worker1     AS227      as227brd-ix227-1.227.0.227-cc8b56d74-9xlhb             
seed-k3s-worker1     AS259      as259brd-ix259-2.3.1.3-86d584c958-6mg4g                
seed-k3s-worker1     AS300      as300brd-ix300-2.44.1.44-657785bb4b-kln5n              
seed-k3s-worker1     AS339      as339brd-ix339-2.83.1.83-5dd96858d8-t4dbv              
seed-k3s-worker1     AS345      as345brd-ix345-2.89.1.89-6fd96d98f4-kltvq              
seed-k3s-worker1     AS347      as347brd-ix347-2.91.1.91-5b6f7967f6-mfw8n              
seed-k3s-worker1     AS403      as403brd-ix403-2.147.1.147-678d947988-czmhs            
seed-k3s-worker1     AS518      as518brd-ix518-3.6.2.6-6dc5cb7d7b-ttxdw                
seed-k3s-worker1     AS1439     as1439brd-r10-1.10.5.159-66f989c8b4-pbc8m              
seed-k3s-worker1     AS1439     as1439brd-r12-1.12.5.159-74bf47748c-9g54b              
seed-k3s-worker1     AS1439     as1439brd-r122-1.122.5.159-5dd698f95c-wkdqn            
seed-k3s-worker1     AS1439     as1439brd-r13-1.13.5.159-5595767f5b-vxg7b              
seed-k3s-worker1     AS1439     as1439brd-r156-1.156.5.159-6f94757d59-wnvtb            
seed-k3s-worker1     AS1439     as1439brd-r16-1.16.5.159-77796ff7fc-4gnhh              
seed-k3s-worker1     AS1439     as1439brd-r18-1.18.5.159-6599b74b75-4pv6m              
seed-k3s-worker1     AS1439     as1439brd-r19-1.19.5.159-b67b8c9f6-4mdl2               
seed-k3s-worker1     AS1439     as1439brd-r21-1.21.5.159-67d468d6c4-p6kpf              
seed-k3s-worker1     AS1439     as1439brd-r22-1.22.5.159-85d594c4b6-8z5qc              
seed-k3s-worker1     AS1439     as1439brd-r23-1.23.5.159-554776b78b-ql7n9              
seed-k3s-worker1     AS1439     as1439brd-r237-1.237.5.159-d5f4f8c84-zxmpm             
seed-k3s-worker1     AS1439     as1439brd-r24-1.24.5.159-6f58d56b58-jxxgt              
seed-k3s-worker1     AS1439     as1439brd-r25-1.25.5.159-6749778fff-wnv8m              
seed-k3s-worker1     AS1439     as1439brd-r3-1.3.5.159-6cb747447b-d2m2k                
seed-k3s-worker1     AS1439     as1439brd-r352-2.96.5.159-7588f474bf-6t4c4             
seed-k3s-worker1     AS1439     as1439brd-r403-2.147.5.159-676fb6fc68-xq4vl            
seed-k3s-worker1     AS1439     as1439brd-r4-1.4.5.159-8678dbd4c9-zbx8k                
seed-k3s-worker1     AS1439     as1439brd-r43-1.43.5.159-86b4fddd6c-8h86p              
seed-k3s-worker1     AS1439     as1439brd-r495-2.239.5.159-79998785b-n74zv             
seed-k3s-worker1     AS1439     as1439brd-r518-3.6.5.159-7cfb76d55c-j9x5g              
seed-k3s-worker1     AS1439     as1439brd-r6-1.6.5.159-795f6dc6b9-xp2l4                
seed-k3s-worker1     AS1439     as1439brd-r71-1.71.5.159-5bf688478b-j4zkm              
seed-k3s-worker1     AS1439     as1439brd-r7-1.7.5.159-78bfd56bf9-r9jsk                
seed-k3s-worker1     AS1439     as1439brd-r74-1.74.5.159-7b7fcdc559-4hrdq              
seed-k3s-worker2     AS2        as2brd-ix2-1.2.0.2-d9bc45d6c-l6bk8                     
seed-k3s-worker2     AS3        as3brd-ix3-1.3.0.3-779f76db5-8bb2d                     
